subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
1,Once a week,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,,Waiting for signal change,True,Neutral,01/07/2019 @ 07:21 AM,in person,Delays,Crime / Safety,Station infrastructure
E,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,False,Unaware,01/07/2019 @ 07:25 AM,in person,Delays,Frequent route changes,High fares
F,Once a month,40 - 60 min,Very satisfied,A few times a week,20 - 45 min,Wait for next train,Only at night,Train traffic,True,Unaware,01/07/2019 @ 07:30 AM,in person,Delays,,
7,"Weekdays, Mon - Fri",< 20 min,Very satisfied,Everyday,10 - 20 min,Walk,Almost never,Waiting for signal change,True,Neutral,01/07/2019 @ 07:39 AM,in person,,,
E,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Other / No thoughts,01/07/2019 @ 07:49 AM,in person,Delays,Old trains,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,All the time,Train traffic,False,Positive,01/07/2019 @ 08:01 AM,in person,Delays,High fares,Lack of handicap access
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,All the time,Train traffic,False,Positive,01/07/2019 @ 08:01 AM,in person,Delays,High fares,Lack of handicap access
1,~5 days per week,40 - 60 min,Neutral,Everyday,10 - 20 min,Use another train,Only on weekends,Waiting for signal change,False,Negative,01/07/2019 @ 08:13 AM,in person,Delays,High fares,Station infrastructure
R,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,Train traffic,True,Positive,01/07/2019 @ 08:13 AM,in person,Delays,Frequent route changes,Overcrowded trains
1,"More than once a week, varies",60 - 90 min,Somewhat satisfied,Everyday,20 - 45 min,Wait for next train,All the time,Signal malfunction,False,Positive,01/07/2019 @ 08:15 AM,in person,Delays,Frequent route changes,Customer service
